Table 1:  Labour Force Survey Summary:  People by economic activity for those aged 16 and over and those aged from 16 to 64 (seasonally adjusted),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Jul-Sep 1984,43801000,27573000,24335000,3238000,16228000,63,55.6,11.7,37,35759000,27110000,23901000,3209000,8649000,75.8,66.8,11.8,24.2
Aug-Oct 1984,43824000,27603000,24370000,3233000,16220000,63,55.6,11.7,37,35768000,27142000,23939000,3203000,8626000,75.9,66.9,11.8,24.1
Sep-Nov 1984,43846000,27629000,24400000,3229000,16218000,63,55.6,11.7,37,35777000,27170000,23972000,3198000,8606000,75.9,67,11.8,24.1
Oct-Dec 1984,43869000,27652000,24435000,3217000,16217000,63,55.7,11.6,37,35786000,27194000,24007000,3187000,8592000,76,67.1,11.7,24
Nov-Jan 1985,43892000,27676000,24470000,3206000,16216000,63.1,55.8,11.6,36.9,35795000,27206000,24031000,3175000,8588000,76,67.1,11.7,24
Dec-Feb 1985,43915000,27685000,24490000,3195000,16230000,63,55.8,11.5,37,35804000,27223000,24058000,3165000,8581000,76,67.2,11.6,24
Jan-Mar 1985,43937000,27695000,24515000,3180000,16243000,63,55.8,11.5,37,35813000,27234000,24084000,3150000,8578000,76,67.3,11.6,24
Feb-Apr 1985,43960000,27709000,24540000,3169000,16251000,63,55.8,11.4,37,35822000,27249000,24111000,3139000,8572000,76.1,67.3,11.5,23.9
Mar-May 1985,43983000,27710000,24554000,3156000,16273000,63,55.8,11.4,37,35831000,27250000,24125000,3125000,8581000,76.1,67.3,11.5,23.9
Apr-Jun 1985,44006000,27722000,24570000,3152000,16284000,63,55.8,11.4,37,35840000,27268000,24147000,3121000,8572000,76.1,67.4,11.4,23.9
May-Jul 1985,44029000,27735000,24590000,3145000,16294000,63,55.8,11.3,37,35849000,27276000,24162000,3115000,8572000,76.1,67.4,11.4,23.9
Jun-Aug 1985,44051000,27749000,24610000,3139000,16302000,63,55.9,11.3,37,35859000,27291000,24182000,3109000,8568000,76.1,67.4,11.4,23.9
Jul-Sep 1985,44069000,27762000,24625000,3137000,16307000,63,55.9,11.3,37,35867000,27309000,24201000,3107000,8558000,76.1,67.5,11.4,23.9
Aug-Oct 1985,44087000,27770000,24635000,3135000,16317000,63,55.9,11.3,37,35875000,27327000,24221000,3106000,8549000,76.2,67.5,11.4,23.8
Sep-Nov 1985,44104000,27783000,24650000,3133000,16321000,63,55.9,11.3,37,35883000,27340000,24235000,3105000,8544000,76.2,67.5,11.4,23.8
Oct-Dec 1985,44122000,27795000,24660000,3135000,16328000,63,55.9,11.3,37,35891000,27348000,24242000,3106000,8543000,76.2,67.5,11.4,23.8
Nov-Jan 1986,44140000,27798000,24660000,3138000,16342000,63,55.9,11.3,37,35899000,27357000,24247000,3109000,8543000,76.2,67.5,11.4,23.8
Dec-Feb 1986,44158000,27813000,24670000,3143000,16345000,63,55.9,11.3,37,35908000,27372000,24257000,3114000,8536000,76.2,67.6,11.4,23.8
Jan-Mar 1986,44175000,27820000,24670000,3150000,16356000,63,55.8,11.3,37,35916000,27385000,24262000,3123000,8531000,76.2,67.6,11.4,23.8
Feb-Apr 1986,44193000,27826000,24675000,3151000,16367000,63,55.8,11.3,37,35924000,27396000,24272000,3124000,8528000,76.3,67.6,11.4,23.7
Mar-May 1986,44211000,27837000,24683000,3154000,16373000,63,55.8,11.3,37,35932000,27408000,24280000,3128000,8523000,76.3,67.6,11.4,23.7
Apr-Jun 1986,44228000,27853000,24695000,3159000,16375000,63,55.8,11.3,37,35940000,27423000,24291000,3132000,8517000,76.3,67.6,11.4,23.7
May-Jul 1986,44246000,27888000,24720000,3168000,16358000,63,55.9,11.4,37,35948000,27453000,24310000,3143000,8495000,76.4,67.6,11.4,23.6
Jun-Aug 1986,44264000,27915000,24740000,3175000,16348000,63.1,55.9,11.4,36.9,35957000,27489000,24340000,3150000,8467000,76.5,67.7,11.5,23.5
Jul-Sep 1986,44282000,27947000,24770000,3177000,16335000,63.1,55.9,11.4,36.9,35967000,27520000,24369000,3151000,8446000,76.5,67.8,11.5,23.5
Aug-Oct 1986,44299000,27971000,24800000,3171000,16328000,63.1,56,11.3,36.9,35977000,27535000,24388000,3147000,8441000,76.5,67.8,11.4,23.5
Sep-Nov 1986,44317000,27995000,24830000,3165000,16323000,63.2,56,11.3,36.8,35986000,27564000,24423000,3141000,8423000,76.6,67.9,11.4,23.4
Oct-Dec 1986,44335000,28006000,24850000,3156000,16330000,63.2,56.1,11.3,36.8,35996000,27580000,24447000,3133000,8416000,76.6,67.9,11.4,23.4
Nov-Jan 1987,44353000,28025000,24875000,3150000,16328000,63.2,56.1,11.2,36.8,36006000,27599000,24472000,3127000,8407000,76.7,68,11.3,23.3
Dec-Feb 1987,44371000,28034000,24900000,3134000,16337000,63.2,56.1,11.2,36.8,36016000,27607000,24496000,3111000,8409000,76.7,68,11.3,23.3
Jan-Mar 1987,44389000,28038000,24925000,3113000,16351000,63.2,56.2,11.1,36.8,36026000,27607000,24516000,3091000,8419000,76.6,68.1,11.2,23.4
Feb-Apr 1987,44407000,28060000,24970000,3090000,16347000,63.2,56.2,11,36.8,36036000,27629000,24560000,3069000,8407000,76.7,68.2,11.1,23.3
Mar-May 1987,44425000,28092000,25031000,3061000,16333000,63.2,56.3,10.9,36.8,36046000,27662000,24622000,3040000,8384000,76.7,68.3,11,23.3
Apr-Jun 1987,44443000,28131000,25110000,3021000,16312000,63.3,56.5,10.7,36.7,36056000,27696000,24695000,3001000,8360000,76.8,68.5,10.8,23.2
May-Jul 1987,44461000,28163000,25190000,2973000,16298000,63.3,56.7,10.6,36.7,36066000,27732000,24780000,2952000,8334000,76.9,68.7,10.6,23.1
Jun-Aug 1987,44479000,28199000,25270000,2929000,16279000,63.4,56.8,10.4,36.6,36077000,27764000,24855000,2909000,8312000,77,68.9,10.5,23
Jul-Sep 1987,44491000,28230000,25345000,2885000,16261000,63.5,57,10.2,36.5,36084000,27801000,24936000,2865000,8283000,77,69.1,10.3,23
Aug-Oct 1987,44504000,28258000,25420000,2838000,16245000,63.5,57.1,10,36.5,36091000,27824000,25006000,2818000,8267000,77.1,69.3,10.1,22.9
Sep-Nov 1987,44516000,28283000,25495000,2788000,16233000,63.5,57.3,9.9,36.5,36099000,27848000,25081000,2767000,8250000,77.1,69.5,9.9,22.9
Oct-Dec 1987,44528000,28316000,25575000,2741000,16212000,63.6,57.4,9.7,36.4,36106000,27876000,25157000,2720000,8230000,77.2,69.7,9.8,22.8
Nov-Jan 1988,44541000,28352000,25655000,2697000,16189000,63.7,57.6,9.5,36.3,36114000,27908000,25232000,2676000,8205000,77.3,69.9,9.6,22.7
Dec-Feb 1988,44553000,28387000,25730000,2657000,16166000,63.7,57.8,9.4,36.3,36121000,27939000,25302000,2637000,8182000,77.3,70,9.4,22.7
Jan-Mar 1988,44565000,28407000,25795000,2613000,16158000,63.7,57.9,9.2,36.3,36128000,27960000,25368000,2592000,8169000,77.4,70.2,9.3,22.6
Feb-Apr 1988,44578000,28429000,25860000,2569000,16149000,63.8,58,9,36.2,36136000,27977000,25428000,2549000,8159000,77.4,70.4,9.1,22.6
Mar-May 1988,44590000,28439000,25913000,2526000,16152000,63.8,58.1,8.9,36.2,36143000,27990000,25484000,2505000,8153000,77.4,70.5,9,22.6
Apr-Jun 1988,44603000,28460000,25970000,2490000,16143000,63.8,58.2,8.7,36.2,36150000,28011000,25541000,2469000,8140000,77.5,70.7,8.8,22.5
May-Jul 1988,44615000,28482000,26030000,2452000,16133000,63.8,58.3,8.6,36.2,36158000,28024000,25595000,2429000,8134000,77.5,70.8,8.7,22.5
Jun-Aug 1988,44627000,28516000,26100000,2416000,16112000,63.9,58.5,8.5,36.1,36166000,28045000,25653000,2392000,8121000,77.5,70.9,8.5,22.5
Jul-Sep 1988,44640000,28545000,26160000,2385000,16094000,63.9,58.6,8.4,36.1,36173000,28083000,25722000,2361000,8090000,77.6,71.1,8.4,22.4
Aug-Oct 1988,44652000,28591000,26230000,2361000,16061000,64,58.7,8.3,36,36180000,28116000,25780000,2336000,8065000,77.7,71.3,8.3,22.3
Sep-Nov 1988,44664000,28623000,26290000,2333000,16041000,64.1,58.9,8.2,35.9,36187000,28145000,25838000,2307000,8042000,77.8,71.4,8.2,22.2
Oct-Dec 1988,44676000,28648000,26355000,2293000,16028000,64.1,59,8,35.9,36194000,28163000,25897000,2267000,8031000,77.8,71.5,8,22.2
Nov-Jan 1989,44688000,28683000,26430000,2253000,16005000,64.2,59.1,7.9,35.8,36201000,28190000,25965000,2225000,8011000,77.9,71.7,7.9,22.1
Dec-Feb 1989,44701000,28723000,26510000,2213000,15977000,64.3,59.3,7.7,35.7,36209000,28224000,26038000,2185000,7985000,77.9,71.9,7.7,22.1
Jan-Mar 1989,44713000,28769000,26590000,2179000,15944000,64.3,59.5,7.6,35.7,36216000,28266000,26117000,2150000,7949000,78,72.1,7.6,22
Feb-Apr 1989,44725000,28800000,26660000,2140000,15925000,64.4,59.6,7.4,35.6,36223000,28289000,26180000,2109000,7933000,78.1,72.3,7.5,21.9
Mar-May 1989,44737000,28815000,26709000,2106000,15922000,64.4,59.7,7.3,35.6,36230000,28300000,26225000,2075000,7930000,78.1,72.4,7.3,21.9
Apr-Jun 1989,44750000,28813000,26730000,2083000,15937000,64.4,59.7,7.2,35.6,36237000,28301000,26248000,2053000,7936000,78.1,72.4,7.3,21.9
May-Jul 1989,44762000,28821000,26750000,2071000,15941000,64.4,59.8,7.2,35.6,36244000,28311000,26269000,2042000,7934000,78.1,72.5,7.2,21.9
Jun-Aug 1989,44774000,28832000,26775000,2057000,15942000,64.4,59.8,7.1,35.6,36252000,28314000,26284000,2030000,7938000,78.1,72.5,7.2,21.9
Jul-Sep 1989,44782000,28840000,26795000,2045000,15942000,64.4,59.8,7.1,35.6,36258000,28328000,26309000,2018000,7930000,78.1,72.6,7.1,21.9
Aug-Oct 1989,44790000,28854000,26820000,2034000,15935000,64.4,59.9,7.1,35.6,36263000,28343000,26334000,2009000,7920000,78.2,72.6,7.1,21.8
Sep-Nov 1989,44798000,28877000,26850000,2027000,15920000,64.5,59.9,7,35.5,36269000,28367000,26365000,2002000,7901000,78.2,72.7,7.1,21.8
Oct-Dec 1989,44805000,28901000,26880000,2021000,15905000,64.5,60,7,35.5,36274000,28387000,26390000,1997000,7887000,78.3,72.8,7,21.7
Nov-Jan 1990,44813000,28902000,26890000,2012000,15912000,64.5,60,7,35.5,36280000,28389000,26400000,1989000,7891000,78.3,72.8,7,21.7
Dec-Feb 1990,44821000,28906000,26900000,2006000,15915000,64.5,60,6.9,35.5,36285000,28395000,26410000,1985000,7890000,78.3,72.8,7,21.7
Jan-Mar 1990,44829000,28904000,26900000,2004000,15925000,64.5,60,6.9,35.5,36291000,28394000,26411000,1983000,7897000,78.2,72.8,7,21.8
Feb-Apr 1990,44836000,28914000,26910000,2004000,15923000,64.5,60,6.9,35.5,36297000,28405000,26421000,1984000,7892000,78.3,72.8,7,21.7
Mar-May 1990,44844000,28925000,26922000,2004000,15919000,64.5,60,6.9,35.5,36302000,28419000,26434000,1985000,7883000,78.3,72.8,7,21.7
Apr-Jun 1990,44852000,28937000,26935000,2002000,15915000,64.5,60.1,6.9,35.5,36308000,28431000,26447000,1983000,7877000,78.3,72.8,7,21.7
May-Jul 1990,44860000,28954000,26945000,2009000,15906000,64.5,60.1,6.9,35.5,36313000,28438000,26448000,1990000,7875000,78.3,72.8,7,21.7
Jun-Aug 1990,44868000,28954000,26930000,2024000,15913000,64.5,60,7,35.5,36319000,28444000,26439000,2005000,7874000,78.3,72.8,7,21.7
Jul-Sep 1990,44875000,28949000,26900000,2049000,15926000,64.5,59.9,7.1,35.5,36323000,28434000,26405000,2029000,7889000,78.3,72.7,7.1,21.7
Aug-Oct 1990,44883000,28934000,26855000,2079000,15949000,64.5,59.8,7.2,35.5,36327000,28420000,26361000,2059000,7906000,78.2,72.6,7.2,21.8
Sep-Nov 1990,44890000,28920000,26805000,2115000,15970000,64.4,59.7,7.3,35.6,36331000,28412000,26317000,2095000,7919000,78.2,72.4,7.4,21.8
Oct-Dec 1990,44898000,28908000,26750000,2158000,15990000,64.4,59.6,7.5,35.6,36335000,28401000,26263000,2138000,7934000,78.2,72.3,7.5,21.8
Nov-Jan 1991,44905000,28881000,26685000,2196000,16025000,64.3,59.4,7.6,35.7,36338000,28374000,26199000,2175000,7965000,78.1,72.1,7.7,21.9
Dec-Feb 1991,44913000,28859000,26615000,2244000,16053000,64.3,59.3,7.8,35.7,36342000,28359000,26135000,2224000,7984000,78,71.9,7.8,22
Jan-Mar 1991,44920000,28836000,26530000,2306000,16085000,64.2,59.1,8,35.8,36346000,28341000,26056000,2285000,8005000,78,71.7,8.1,22
Feb-Apr 1991,44928000,28828000,26450000,2378000,16100000,64.2,58.9,8.2,35.8,36350000,28334000,25977000,2356000,8017000,77.9,71.5,8.3,22.1
Mar-May 1991,44935000,28807000,26365000,2442000,16128000,64.1,58.7,8.5,35.9,36354000,28318000,25897000,2421000,8036000,77.9,71.2,8.5,22.1
Apr-Jun 1991,44941000,28767000,26275000,2492000,16174000,64,58.5,8.7,36,36356000,28274000,25803000,2471000,8083000,77.8,71,8.7,22.2
May-Jul 1991,44947000,28730000,26190000,2540000,16217000,63.9,58.3,8.8,36.1,36358000,28240000,25723000,2518000,8118000,77.7,70.7,8.9,22.3
Jun-Aug 1991,44952000,28690000,26105000,2585000,16262000,63.8,58.1,9,36.2,36359000,28209000,25647000,2562000,8149000,77.6,70.5,9.1,22.4
Jul-Sep 1991,44958000,28649000,26025000,2624000,16309000,63.7,57.9,9.2,36.3,36359000,28173000,25572000,2601000,8186000,77.5,70.3,9.2,22.5
Aug-Oct 1991,44964000,28607000,25955000,2652000,16357000,63.6,57.7,9.3,36.4,36360000,28131000,25501000,2630000,8229000,77.4,70.1,9.3,22.6
Sep-Nov 1991,44970000,28560000,25885000,2675000,16409000,63.5,57.6,9.4,36.5,36361000,28083000,25430000,2653000,8278000,77.2,69.9,9.4,22.8
Oct-Dec 1991,44975000,28517000,25820000,2697000,16459000,63.4,57.4,9.5,36.6,36361000,28044000,25370000,2674000,8317000,77.1,69.8,9.5,22.9
Nov-Jan 1992,44981000,28489000,25775000,2714000,16492000,63.3,57.3,9.5,36.7,36362000,28006000,25315000,2691000,8356000,77,69.6,9.6,23
Dec-Feb 1992,44987000,28476000,25740000,2735000,16511000,63.3,57.2,9.6,36.7,36363000,27985000,25274000,2711000,8378000,77,69.5,9.7,23
Jan-Mar 1992,44992000,28472000,25710000,2762000,16520000,63.3,57.1,9.7,36.7,36363000,27981000,25243000,2737000,8383000,76.9,69.4,9.8,23.1
Feb-Apr 1992,44998000,28467000,25685000,2782000,16531000,63.3,57.1,9.8,36.7,36364000,27966000,25208000,2758000,8398000,76.9,69.3,9.9,23.1
Mar-May 1992,44992004,28431675.40138793,25635937.039723113,2795738.3616648186,16560328.59861207,63.19272953787062,56.97887348988303,9.833181907839103,36.80727046212938,36357788,27929433.40456035,25157591.098221622,2771842.3063387317,8428354.595439648,76.81829654917497,69.1945040721994,9.924448756938055,23.18170345082503
Apr-Jun 1992,44995845.08333333,28382788.319427688,25605420.66567693,2777367.6537507586,16613056.76390564,63.0786870806896,56.906189045355426,9.785393959513424,36.9213129193104,36358138.166666664,27877135.430344336,25121755.10712168,2755380.323222652,8481002.73632233,76.67371553118262,69.09527377876967,9.884015271610057,23.32628446881738
May-Jul 1992,44999444.16666667,28344255.93322379,25541631.02414252,2802624.9090812695,16655188.23344288,62.98801342577425,56.75988114329304,9.887805542272732,37.011986574225745,36358159.333333336,27851391.054040678,25071012.34047591,2780378.7135647647,8506768.27929266,76.60286319419473,68.95566992438664,9.982907884815999,23.397136805805275
Jun-Aug 1992,45000599.25,28341195.678697743,25525069.839521334,2816125.839176409,16659403.571302261,62.97959616326163,56.72162207822451,9.93651034029277,37.020403836738375,36356133.5,27855167.782170594,25060700.484546877,2794467.297623717,8500965.717829408,76.61751979805716,68.931148810274,10.032132347852476,23.38248020194284
Jul-Sep 1992,45003489.333333336,28323529.820289146,25509004.98281585,2814524.837473295,16679959.513044182,62.93629725131198,56.68228255341471,9.937055357617014,37.06370274868801,36356270.66666667,27844364.378492728,25051021.951368682,2793342.42712404,8511906.288173938,76.58751535267311,68.90426738498448,10.031984889845956,23.412484647326874
Aug-Oct 1992,45006042.416666664,28304301.197930403,25454432.116793375,2849869.0811370304,16701741.218736267,62.89000249319575,56.55781035163198,10.068678471190843,37.10999750680426,36355718.83333333,27829816.46575056,24999843.44495082,2829973.020799742,8525902.367582776,76.54866238055055,68.76454172054304,10.168852619931997,23.451337619449472
Sep-Nov 1992,45007256.5,28305230.433747776,25406419.09858323,2898811.3351645404,16702026.066252224,62.890370653336255,56.44960629533868,10.241256795098703,37.109629346663745,36354057,27843019.63731946,24962923.297701463,2880096.339617993,8511037.36268054,76.58847989735908,68.66612795843243,10.34405167662795,23.411520102640925
Oct-Dec 1992,45009749.583333336,28267348.070938393,25335707.76036243,2931640.310575964,16742401.51239493,62.80272237152262,56.289377290257114,10.37111901413199,37.19727762847735,36353396.16666667,27817111.992068827,24904857.806714475,2912254.185354348,8536284.174597835,76.5186060321237,68.507651094096,10.469290220295642,23.481393967876283
Nov-Jan 1993,45011776.666666664,28283919.888446037,25301163.589961484,2982756.2984845517,16727856.778220635,62.83671070773708,56.21009758696813,10.545767030343647,37.163289292262924,36352636.33333333,27833942.359362297,24869382.745849162,2964559.6135131344,8518693.97397104,76.5665029191848,68.41149708596329,10.650879330128266,23.433497080815226
Dec-Feb 1993,45014156.75,28297569.027673624,25274285.849734027,3023283.177939596,16716587.722326377,62.863710154191935,56.14741600093181,10.683897174993987,37.136289845808065,36351719.5,27844605.082246557,24839004.25966523,3005600.8225813294,8507114.417753441,76.59776611735397,68.32965428132012,10.794194472155292,23.402233882646023
Jan-Mar 1993,45015604.83333333,28285815.98186159,25282289.152509775,3003526.8293518117,16729788.851471744,62.83557909882042,56.16338877621533,10.618491017822631,37.1644209011796,36350545.66666667,27831852.733037714,24847112.938892823,2984739.7941448884,8518692.933628954,76.56515802611301,68.3541676835887,10.72418650233034,23.434841973886975
Feb-Apr 1993,45018512.91666667,28246691.981196113,25258217.386197217,2988474.594998896,16771820.935470555,62.74461360703604,56.106289945544084,10.579910019156687,37.25538639296395,36350047.833333336,27793487.40787482,24824126.461603045,2969360.9462717758,8556560.425458515,76.46066254247931,68.2918673874181,10.68365729962501,23.53933745752067
Mar-May 1993,45020243,28237916.683222722,25285871.46123015,2952045.22199257,16782326.316777278,62.7227104998583,56.165559704398206,10.454189149677951,37.2772895001417,36349176,27792236.932705373,24859657.88479072,2932579.047914653,8556939.067294627,76.4590562732574,68.39125564989621,10.55179205263485,23.540943726742604
Apr-Jun 1993,45021999.333333336,28223810.958488174,25292830.156229567,2930980.8022586056,16798188.374845166,62.68893291371861,56.17882486507722,10.384780448570599,37.311067086281405,36347778.66666667,27782861.343597077,24872033.24006305,2910828.1035340247,8564917.323069595,76.43620150321814,68.42793191891079,10.477063782362587,23.56379849678185
May-Jul 1993,45024269.66666667,28220405.772841424,25293401.338799637,2927004.434041789,16803863.893825233,62.678208845515506,56.17726067753496,10.3719431166318,37.321791154484465,36347222.333333336,27781940.818299875,24872003.673954956,2909937.1443449184,8565281.51503345,76.43483885375635,68.42889793849616,10.474203956363452,23.565161146243618
Jun-Aug 1993,45028605,28184433.881839216,25278198.83882899,2906235.043010229,16844171.11816078,62.592287462245864,56.13809008480052,10.311489864207903,37.40771253775412,36349664,27743537.42694573,24853560.271043573,2889977.1559021585,8606126.573054265,76.32405467887057,68.37356260306443,10.416758005398716,23.675945321129422
Jul-Sep 1993,45032827.333333336,28205762.997689985,25315638.57803362,2890124.4196563703,16827064.33564335,62.63378221605033,56.21596527938845,10.246574148315249,37.36621778394967,36352228.66666667,27768907.70779019,24892766.284426674,2876141.423363515,8583320.958876478,76.38846014757,68.47658918709487,10.35741648043525,23.61153985242998
Aug-Oct 1993,45036820.66666667,28211588.831679665,25319688.359921604,2891900.4717580564,16825231.834987003,62.64116430527711,56.21997286913637,10.250753649545082,37.358835694722885,36354462.33333333,27768123.652467504,24893092.873209834,2875030.7792576705,8586338.680865826,76.38161004242654,68.47328023989344,10.35370922155265,23.618389957573463
Sep-Nov 1993,45041282,28204625.870460004,25319175.86501772,2885450.0054422794,16836656.12954,62.61950064045691,56.21326645413362,10.23041404163543,37.380499359543094,36356817,27767477.40801706,24899821.988606438,2867655.4194106236,8589339.59198294,76.3748856452892,68.48735407339548,10.327389043207326,23.62511435471081
Oct-Dec 1993,45046031.333333336,28212834.270915087,25320371.44924596,2892462.821669126,16833197.062418252,62.63112073546432,56.209993865784334,10.252294377424521,37.36887926453569,36359974.66666667,27774621.087596193,24898801.708743446,2875819.3788527483,8585353.579070475,76.38789999779296,68.47860026582924,10.354126415560911,23.612100002207026
Nov-Jan 1994,45051137.66666667,28213790.598467216,25321620.58059661,2892170.0178706073,16837347.068199452,62.62614455426415,56.206395425463526,10.250909064405304,37.373855445735835,36363163.333333336,27777911.199894562,24902570.987921223,2875340.211973338,8585252.133438773,76.39024950953907,68.48296106596857,10.351175044379334,23.609750490460925
Dec-Feb 1994,45054060,28207114.906606648,25361991.805681404,2845123.1009252453,16846945.093393356,62.60726537543264,56.29235590684036,10.08654415861178,37.39273462456737,36364403,27777546.31307167,24948356.623675544,2829189.6893961243,8586856.686928337,76.3866419395684,68.60653431784799,10.185167752073022,23.61335806043162
Jan-Mar 1994,45058765.33333333,28213697.009844337,25407613.345560946,2806083.664283388,16845068.323489,62.61533533181958,56.38772646698563,9.945820511591542,37.384664668180434,36367300.66666667,27786810.037657715,24996954.1037073,2789855.9339504177,8580490.629008953,76.40602829543076,68.73469750428538,10.040216671757216,23.593971704569235
Feb-Apr 1994,45063571.666666664,28220168.76418329,25450818.05527576,2769350.7089075325,16843402.902483374,62.623018372637404,56.47758735932958,9.813374016467117,37.376981627362596,36370119.33333333,27783867.681653358,25031189.762754835,2752677.9188985224,8586251.65167997,76.39201682846654,68.82350187895499,9.907468428940907,23.607983171533462
Mar-May 1994,45067064,28205112.8463818,25455374.68391858,2749738.1624632194,16861951.153618205,62.58475778759806,56.48332157585988,9.749076975651812,37.41524221240196,36372027,27764655.22350207,25030015.17427139,2734640.0492306827,8607371.776497934,76.33518809249226,68.8166628004301,9.849357131277754,23.66481190750775
Apr-Jun 1994,45071766.25,28187095.76344826,25451127.30303444,2735968.4604138164,16884670.486551747,62.53825423015957,56.46800518502965,9.706457463282527,37.46174576984044,36374783.25,27749046.49258995,25028286.2401565,2720760.2524334495,8625736.757410051,76.28649304072472,68.80669519908822,9.804878351982277,23.71350695927529
May-Jul 1994,45075663.5,28220925.350913115,25515526.454187684,2705398.8967254297,16854738.149086885,62.60789783141654,56.60599195436732,9.586499602990141,37.39210216858346,36377107.5,27777381.514265474,25085724.754414894,2691656.7598505807,8599725.985734526,76.35951130601978,68.96019633890599,9.690102569488927,23.640488693980206
Jun-Aug 1994,45087731.75,28208421.727233,25517447.600211244,2690974.1270217574,16879310.022767004,62.56340834274281,56.595101615887444,9.53961250665731,37.436591657257196,36385283.75,27763150.25089258,25087937.650584307,2675212.6003082767,8622133.499107422,76.30323963295346,68.9507819231568,9.635839507162085,23.696760367046533
Jul-Sep 1994,45098923,28198337.638899814,25559033.90879756,2639303.730102255,16900585.361100186,62.52552336759752,56.67326891331209,9.359784835192967,37.47447663240248,36392740,27750156.57615544,25127904.63545247,2622251.9407029646,8642583.42384456,76.25190237436213,69.04647640010747,9.449503225348131,23.74809762563786
Aug-Oct 1994,45111689.25,28168821.351690486,25560955.21912323,2607866.1325672576,16942867.898309514,62.44239978597229,56.66148983574857,9.257988113907196,37.55760021402771,36401574.25,27719624.791388497,25126431.41178038,2593193.3796081147,8681949.458611505,76.14952199873196,69.025672459153,9.355081099127025,23.85047800126805
Sep-Nov 1994,45122388.5,28149483.53527994,25593847.797155134,2555635.7381248027,16972904.964720063,62.38473731345127,56.72095083609135,9.07880151663105,37.615262686548746,36408876.5,27687465.270100363,25147260.2587623,2540205.011338061,8721411.229899641,76.04592047793719,69.06903666407366,9.174566853836286,23.954079522062816
Oct-Dec 1994,45134209.75,28120555.63065452,25599890.709056385,2520664.921598131,17013654.11934548,62.30430484197084,56.719483626400226,8.96378064041639,37.69569515802917,36416971.75,27656106.13630887,25149479.145302624,2506626.991006246,8760865.613691127,75.94290466040431,69.05977607899982,9.063557171251126,24.057095339595687
Nov-Jan 1995,45146016.00000001,28080195.86459235,25583136.630011,2497059.2345813457,17065820.135407645,62.19861319455596,56.667539899890606,8.89259906384772,37.80138680544401,36425188,27619979.86612002,25136021.160271928,2483958.7058480927,8805208.133879973,75.82659522888399,69.0072516860364,8.99334003097893,24.173404771116
Dec-Feb 1995,45157461,28133530.390960258,25637642.645683646,2495887.745276613,17023930.609039742,62.300957068778196,56.77387983722922,8.871576764779514,37.699042931221804,36433135,27665726.731054947,25183351.464194037,2482375.2668609098,8767408.268945053,75.93561940539827,69.12210948685595,8.972745559849791,24.064380594601737
Jan-Mar 1995,45169272,28167447.01964216,25670256.672605384,2497190.347036775,17001824.98035784,62.3597542586964,56.83123844149045,8.865518927914893,37.6402457413036,36441127,27705366.876422174,25220494.36940629,2484872.5070158886,8735760.123577824,76.02774435714399,69.20887592034761,8.968921141161877,23.97225564285601
Feb-Apr 1995,45181602,28194729.10562045,25704882.005679622,2489847.099940832,16986872.89437955,62.40311953883453,56.8923651836861,8.830895628092755,37.59688046116547,36449423,27730746.178885087,25254276.271028236,2476469.907856851,8718676.821114909,76.08006902848665,69.28580535013747,8.930412084412282,23.919930971513345
Mar-May 1995,45193102,28206094.31072658,25733377.102336276,2472717.208390305,16987007.689273417,62.41238831254952,56.94094001853707,8.766606184997219,37.587611687450476,36457265,27748178.31504628,25287509.55342087,2460668.761625409,8709086.68495372,76.11151937767761,69.3620587101662,8.867856958707543,23.88848062232238
Apr-Jun 1995,45204634,28214818.947090555,25770282.576558918,2444536.370531641,16989815.05290945,62.415766815168894,57.008054918792,8.664015796506522,37.58423318483111,36465484,27748663.47119535,25317006.143464945,2431657.327730405,8716820.528804649,76.09569496237964,69.42731417870375,8.763151170342312,23.904305037620365
May-Jul 1995,45215891,28238828.444985166,25790936.24014736,2447892.2048378093,16977062.555014834,62.45332740426406,57.03954001514061,8.66853314969064,37.54667259573594,36473062,27782100.530246496,25346705.689936846,2435394.840309647,8690961.469753506,76.17156061711106,69.49431799813475,8.766057259271024,23.828439382888956
Jun-Aug 1995,45227791,28276107.475459583,25837532.280971706,2438575.1944878697,16951683.524540417,62.5193202017308,57.127557436912426,8.62415449723507,37.4806797982692,36482150,27824801.002139483,25398602.957430683,2426198.044708797,8657348.997860515,76.26963049639203,69.61926026133516,8.71955218843162,23.73036950360797
Jul-Sep 1995,45242060,28299548.193891026,25852195.553784505,2447352.640106525,16942511.80610897,62.55141386994983,57.14195055173108,8.648027252374407,37.44858613005016,36493665,27847111.43799791,25413496.241998773,2433615.1959991376,8646553.562002089,76.30669991078702,69.6381036051018,8.739201555671672,23.693300089212986
Aug-Oct 1995,45255123,28306684.315120228,25869127.438516594,2437556.876603631,16948438.684879772,62.54912690242877,57.16287068431257,8.611241251246058,37.45087309757123,36503685,27856446.44031757,25431598.991721295,2424847.4485962717,8647238.55968243,76.31132703538717,69.66858001245983,8.704798200989156,23.688672964612834
